Country,ResellerID,Trans12Mo,Units12Mo
Mexico,28953437,4,5
Mexico,34054938,3,5
Mexico,34213092,2,5
Mexico,32546282,2,5
Mexico,34857978,2,5
Mexico,35202822,1,5
Mexico,22771707,1,5
Mexico,25027949,1,5
Mexico,33867748,4,5
Mexico,33048886,1,5
Mexico,16421526,3,5
Mexico,18434196,2,5
Mexico,15930230,5,5
Mexico,15830839,1,5
Mexico,20321830,2,5
Mexico,19019918,3,5
Mexico,16338694,1,5
Mexico,18177157,1,5
Mexico,19197938,2,5
Mexico,20264842,2,5
Mexico,18721584,1,5
Mexico,17358972,2,5
Mexico,13515150,1,5
Mexico,11372748,4,5
Mexico,14741034,1,5
Mexico,11056181,1,5
Mexico,14634534,3,5
Mexico,10369685,2,5
Mexico,14658453,2,5
Mexico,14393715,2,5
Mexico,10936690,3,5
Mexico,10805704,5,5
Mexico,12393578,1,5
Mexico,14049918,1,5
Mexico,2414400,1,5
Mexico,3591090,3,5
Mexico,8351410,2,5
Mexico,3407772,2,5
Mexico,5740604,3,5
Mexico,7781485,1,5
Mexico,8287623,2,5
Mexico,615224,3,5
Mexico,3294533,1,5
Mexico,6540320,2,5
Mexico,6707527,2,5
Mexico,2078501,5,5
Mexico,5325516,4,5
South Region LATAM,52675009,1,5
South Region LATAM,32259314,2,5
South Region LATAM,20286418,5,5
South Region LATAM,45360995,1,5
South Region LATAM,5738175,5,5
South Region LATAM,36926814,3,5
South Region LATAM,16841475,1,5
South Region LATAM,54526549,5,5
South Region LATAM,43474921,2,5
South Region LATAM,36926787,4,5
South Region LATAM,18682573,2,5
South Region LATAM,13525517,5,5
South Region LATAM,9153948,4,5
South Region LATAM,26085605,1,5
South Region LATAM,11619938,4,5
South Region LATAM,303872,4,5
South Region LATAM,39539931,3,5
South Region LATAM,39539931,1,5
South Region LATAM,30326676,4,5
South Region LATAM,17139591,3,5
South Region LATAM,53839391,1,5
South Region LATAM,52975598,1,5
South Region LATAM,37051147,4,5
South Region LATAM,9854391,3,5
South Region LATAM,51949414,3,5
South Region LATAM,21889180,1,5
South Region LATAM,13525507,2,5
South Region LATAM,6970894,4,5
South Region LATAM,359814,3,5
South Region LATAM,6419869,2,5
South Region LATAM,309162,5,5
South Region LATAM,52089312,2,5
South Region LATAM,51628381,4,5
South Region LATAM,25466262,3,5
South Region LATAM,35446685,5,5
South Region LATAM,33705654,4,5
South Region LATAM,21178969,5,5
South Region LATAM,16842198,5,5
South Region LATAM,8403957,1,5
South Region LATAM,62661600,1,5
South Region LATAM,60391083,1,5
South Region LATAM,59120694,1,5
South Region LATAM,62809878,4,5
South Region LATAM,62395987,1,5
South Region LATAM,61546703,1,5
South Region LATAM,59572738,3,5
South Region LATAM,60562380,1,5
South Region LATAM,61415132,2,5
South Region LATAM,58771600,1,5
South Region LATAM,59239937,2,5
South Region LATAM,60780253,1,5
South Region LATAM,60562377,1,5
South Region LATAM,60034358,1,5
South Region LATAM,63571687,1,5
South Region LATAM,60883240,1,5
South Region LATAM,56973880,1,5
South Region LATAM,57807933,5,5
South Region LATAM,54238304,3,5
South Region LATAM,57674042,1,5
South Region LATAM,54349963,1,5
South Region LATAM,56973881,2,5
South Region LATAM,55974443,3,5
South Region LATAM,57611580,3,5
South Region LATAM,53840193,1,5
South Region LATAM,57771767,2,5
South Region LATAM,54420859,2,5
South Region LATAM,56530825,1,5
South Region LATAM,49799084,2,5
South Region LATAM,51135633,3,5
South Region LATAM,38786332,1,5
South Region LATAM,44586114,1,5
South Region LATAM,42814857,3,5
South Region LATAM,46015294,2,5
South Region LATAM,39559634,1,5
South Region LATAM,35343512,3,5
South Region LATAM,36821028,2,5
South Region LATAM,36710226,2,5
South Region LATAM,33868320,1,5
South Region LATAM,34693916,1,5
South Region LATAM,18561884,1,5
South Region LATAM,21544213,3,5
South Region LATAM,13422248,1,5
South Region LATAM,13590671,1,5
South Region LATAM,14173244,2,5
South Region LATAM,17029768,1,5
South Region LATAM,16903479,1,5
South Region LATAM,10288763,1,5
South Region LATAM,10464620,1,5
South Region LATAM,12076016,3,5
South Region LATAM,4767335,5,5
Argentina,13606380,4,6
Argentina,23947599,2,6
Argentina,18024328,2,6
Argentina,9103328,2,6
Argentina,379814,1,6
Argentina,60558308,1,6
Argentina,59573259,1,6
Argentina,54391422,1,6
Argentina,59858699,2,6
Argentina,55704560,1,6
Argentina,58478425,1,6
Argentina,55942056,3,6
Argentina,56027360,1,6
Argentina,26170819,1,6
Argentina,145154,1,6
Argentina,7961352,4,6
Argentina,21984916,2,6
Argentina,4342204,1,6
Brazil,51399498,4,6
Brazil,58235388,2,6
Brazil,37859841,5,6
Brazil,51634704,2,6
Brazil,10215489,1,6
Brazil,57418828,3,6
Brazil,52682416,2,6
Brazil,18453121,1,6
Brazil,8482562,2,6
Brazil,44254162,4,6
Brazil,23395269,2,6
Brazil,61530688,1,6
Brazil,37856961,5,6
Brazil,5713908,3,6
Brazil,54310575,1,6
Brazil,52658263,2,6
Brazil,45248940,2,6
Brazil,53202935,4,6
Brazil,51469651,3,6
Brazil,48485722,1,6
Brazil,52975576,4,6
Brazil,54454546,2,6
Brazil,32983728,7,6
Brazil,15378533,2,6
Brazil,52465458,3,6
Brazil,45718853,2,6
Brazil,19198165,2,6
Brazil,40087016,3,6
Brazil,44007659,1,6
Brazil,34093056,3,6
Brazil,38503950,1,6
Brazil,37104730,4,6
Brazil,35225900,2,6
Brazil,36909463,5,6
Brazil,16661978,5,6
Brazil,9261859,5,6
Brazil,65033332,1,6
Brazil,64767463,2,6
Brazil,63565109,1,6
Brazil,62399546,1,6
Brazil,61862951,1,6
Brazil,64723255,3,6
Brazil,62078354,1,6
Brazil,62393364,2,6
Brazil,62393368,1,6
Brazil,59357924,1,6
Brazil,60054910,1,6
Brazil,60890321,1,6
Brazil,59681025,1,6
Brazil,61208076,3,6
Brazil,60558417,2,6
Brazil,60048285,1,6
Brazil,60705000,1,6
Brazil,59683537,1,6
Brazil,59273289,2,6
Brazil,59407176,1,6
Brazil,60420510,1,6
Brazil,60414049,1,6
Brazil,60017352,5,6
Brazil,60420488,4,6
Brazil,58571908,3,6
Brazil,58224249,3,6
Brazil,57108775,2,6
Brazil,58238237,1,6
Brazil,58512866,1,6
Brazil,58364448,1,6
Brazil,58238206,1,6
Brazil,57255722,1,6
Brazil,57513810,4,6
Brazil,58364451,1,6
Brazil,57807833,2,6
Brazil,58364467,5,6
Brazil,58512867,5,6
Brazil,57611565,2,6
Brazil,58235437,1,6
Brazil,57363113,1,6
Brazil,57109022,1,6
Brazil,57108768,5,6
Brazil,56371376,3,6
Brazil,56676181,1,6
Brazil,55939918,2,6
Brazil,56811938,1,6
Brazil,56816834,3,6
Brazil,56599501,1,6
Brazil,56019295,6,6
Brazil,55054401,1,6
Brazil,55517680,3,6
Brazil,56676076,2,6
Brazil,56019296,5,6
Brazil,53241561,1,6
Brazil,53245980,5,6
Brazil,53858638,3,6
Brazil,53248979,4,6
Brazil,54397818,2,6
Brazil,51458212,2,6
Brazil,46701805,6,6
Brazil,50933947,2,6
Brazil,49129571,3,6
Brazil,44582811,4,6
Brazil,44921657,6,6
Brazil,43269123,4,6
Brazil,45736899,3,6
Brazil,38522385,4,6
Brazil,38504738,1,6
Brazil,18386393,2,6
Brazil,29962509,1,6
Brazil,17230909,2,6
Brazil,21369055,2,6
Brazil,20304109,3,6
Brazil,11506511,1,6
Brazil,16402632,2,6
Brazil,14600841,2,6
Brazil,14360070,1,6
Brazil,12076112,4,6
Brazil,15344440,1,6
Brazil,11825877,1,6
Brazil,7792300,1,6
Brazil,2964855,4,6
Brazil,4534790,1,6
Brazil,8670399,4,6
Brazil,10247312,1,6
Brazil,166256,1,6
Brazil,12437427,6,6
Caribbean Region LATAM,25137920,1,6
Caribbean Region LATAM,37858106,4,6
Caribbean Region LATAM,14322069,1,6
Caribbean Region LATAM,272041,5,6
Caribbean Region LATAM,54917942,3,6
Caribbean Region LATAM,58364461,5,6
Caribbean Region LATAM,32940981,3,6
Caribbean Region LATAM,56966153,6,6
Central Region LATAM,15594427,4,6
Central Region LATAM,36810721,4,6
Central Region LATAM,17541429,8,6
Central Region LATAM,49993457,1,6
Central Region LATAM,22386292,5,6
Central Region LATAM,18129875,3,6
Central Region LATAM,4110783,2,6
Central Region LATAM,14243317,5,6
Central Region LATAM,34211381,2,6
